Codigo,Descripcion,PrecioVenta,PrecioVentaEspecial
11041,Bardahl 1   450 ML,41,45.5
11042,Bardahl 1   950 ML.,78.5,87
11051,Bardahl 2   450 ML.,41,45.5
11052,Bardahl 2   950 ML.,78.5,87
11056,Bardahl 2   208 Lts.,"14,768.00","16,640.00"
11061,Special Duty   950 ML.,78.5,87
11065,Special Duty   19 Lts.,"1,349.00","1,520.00"
11066,Special Duty   208 Lts.,"14,768.00","16,640.00"
12052,Top Oil P/Todo D/Gasolina  300 ML.,22.66,25.5
12062,Top Oil Octane Booster O-100  250 ML.,42,46
12072,Top Oil Limp. de Inyector  300 ML.,35.16,39
12073,"Bardahl Top Oil Limpieza Continua, 200 ML",21.8,24.2
12074,Bardahl Top Oil Nanox Limpieza Profunda. 300 ML,44.5,49.5
12075,Bardahl Top Oil Nanox Aumenta la Potencia 250 ML,44.5,49.5
12081,Top OIL Premium   473 ML,109.38,122
12082,Bardahl Top Oil Total Nanox 473 ML.,122,135.5
12101,Top Oil Ecosaver Gasolina 473 Ml.,87.69,96
12211,Aditivo para Diesel 350 ML.,36.7,41
12212,Aditivo para Diesel 950 ML.,93.6,104
12214,Top oil Presurizado   397 ML.,67,75
12215,Aditivo para Diesel 19 Lts.,"1,501.00","1,556.00"
12216,Top Oil Boya   450 ML.,52,55
12235,BARDAHL CLEAN AIR 19 L,350.24,350.24
12251,Top Oil Nanox Todo Tipo de Gasolinas  150 ML.,23.75,26.5
12261,Top Oil Nanox Octane Boster  150 ML.,42,46
12271,Top Oil Nanox Limpiador de Inyectores  150 ML.,35.16,39
12312,Bardahl Motos 2 T JASO FB 950 ML.,53.5,66
12320,Bardahl Motos 2 T JASO FB 250 ML.,19.2,21.5
12341,Bardahl Motos 4 T JASO 950 Ml SL 20W50,53.5,66
12351,Bardahl Motos 2 T JASO FB 946 ML.,59.5,66
12371,Bardahl Motos 4 T JASO 950 Ml SL 20W50,59.5,66
12381,Bardahl Motos 4 T JASO Scooters  946 Ml,59.5,66
12391,Bardahl Motos 4 T JASO Alto Desempeño   946 Ml,115.5,128.5
12412,Nautico Super TCW 3   950 ML,73.85,82
12511,Nautico BIA TCW 950ML.,"1,250.00",0
12512,Nautico Bia TCW 950 ML,60,70
13011,Presion Extrema 120 ML.,22.75,25.3
